time,id,temp
1525957424607,T1,24.56
1525957425638,T2,24.56
1525957426674,T3,26.37
1525957432705,T1,24.56
1525957433739,T2,24.56
1525957434772,T3,26.37
1525957440805,T1,24.56
1525957441838,T2,24.56
1525957442871,T3,26.37
1525957448906,T1,24.56
1525957449938,T2,24.56
1525957450973,T3,26.37
1525957457005,T1,24.56
1525957458038,T2,24.56
1525957459073,T3,26.44
1525957465105,T1,24.56
1525957466139,T2,24.62
1525957467172,T3,26.44
1525957473205,T1,24.56
1525957474240,T2,24.62
1525957475272,T3,26.37
1525957481306,T1,24.56
1525957482338,T2,24.62
1525957483371,T3,26.37
1525957489406,T1,24.56
1525957490439,T2,24.62
1525957491472,T3,26.31
1525957497506,T1,24.50
1525957498539,T2,24.62
1525957499573,T3,26.31
1525957505606,T1,24.50
1525957506639,T2,24.62
1525957507674,T3,26.31
1525957513707,T1,24.50
1525957514740,T2,24.62
1525957515774,T3,26.37
1525957521806,T1,24.50
1525957522839,T2,24.56
1525957523873,T3,26.37
1525957529906,T1,24.50
1525957530939,T2,24.56
1525957531973,T3,26.37
1525957538006,T1,24.50
1525957539040,T2,24.56
1525957540073,T3,26.37
1525957546106,T1,24.44
1525957547139,T2,24.56
1525957548173,T3,26.31
1525957554207,T1,24.44
1525957555240,T2,24.56
1525957556273,T3,26.31
1525957562306,T1,24.44
1525957563340,T2,24.56
1525957564374,T3,26.37
1525957570407,T1,24.44
1525957571440,T2,24.56
1525957572473,T3,26.37
1525957578507,T1,24.44
1525957579540,T2,24.56
1525957580576,T3,26.31
1525957586609,T1,24.37
1525957587641,T2,24.56
1525957588674,T3,26.31
1525957594707,T1,24.37
1525957595740,T2,24.50
1525957596774,T3,26.31
1525957602806,T1,24.37
1525957603840,T2,24.50
1525957604874,T3,26.37
1525957610906,T1,24.37
1525957611940,T2,24.50
1525957612974,T3,26.19
1525957619008,T1,24.56
1525957620040,T2,24.50
1525957621074,T3,25.94
1525957627109,T1,24.56
1525957628143,T2,24.56
1525957629176,T3,25.81
1525957635208,T1,24.62
1525957636242,T2,24.56
1525957637274,T3,25.69
1525957643308,T1,24.69
1525957644340,T2,24.56
1525957645374,T3,25.62
1525957651408,T1,24.69
1525957652440,T2,24.56
1525957653475,T3,25.50
1525957659509,T1,24.69
1525957660541,T2,24.56
1525957661575,T3,25.44
1525957667608,T1,24.69
1525957668652,T2,24.56
1525957669673,T3,25.37
1525957675707,T1,24.69
1525957676740,T2,24.56
1525957677775,T3,25.31
1525957683807,T1,24.69
1525957684840,T2,24.56
1525957685874,T3,25.25
1525957691909,T1,24.69
1525957692941,T2,24.56
1525957693975,T3,25.25
1525957700007,T1,24.69
1525957701041,T2,24.56
